date;EWI US Equity;EWD US Equity;EWI US Equity_cp_precio;EWI US Equity_mp_precio;EWI US Equity_lp_precio;EWI US Equity_cp_mp;EWI US Equity_cp_lp;EWI US Equity_mp_lp;EWI US Equity_compare;EWD US Equity_cp_precio;EWD US Equity_mp_precio;EWD US Equity_lp_precio;EWD US Equity_cp_mp;EWD US Equity_cp_lp;EWD US Equity_mp_lp;EWD US Equity_compare;CLASS
2005-06-07;74.7543;31.2303;1.0033525066212143;1.01924055204851;0.9741479219255615;0.9844118786332006;1.0299796201771134;1.0462893048458346;1.0;1.0012613665940717;1.0023249216305987;0.9716845339301912;0.9989389119101253;1.0304387191841478;1.0315332668479098;0.9823440697015399;1
2005-06-08;74.6017;31.1997;1.0052295820911008;1.0206710302848319;0.9771495019550493;0.9848712780753442;1.0287367286990063;1.0445392728980634;1.0114528221206758;1.0020680143902476;1.0034061865979507;0.973535434635591;0.9986663703836229;1.0293082087611294;1.0306827578120366;0.9931249338935951;1
2005-06-09;74.9068;31.1445;1.0012224715055427;1.01560947737722;0.9742026491586877;0.9858341161714725;1.0277353201309696;1.0425033007806852;0.9987784820603736;1.0033310169417662;1.0050016535824973;0.9762076931721508;0.9983376777194587;1.027784378221277;1.02949573191416;0.9983303633065228;1
2005-06-10;74.2051;30.9393;1.009867920129478;1.0240044417432217;0.9843704475837913;0.9861948629932912;1.025902314121957;1.040263291382543;1.024670811035899;1.0090661391822047;1.0115186833574155;0.9835062687261851;0.9975753842063794;1.025988518089594;1.0284821922563965;1.0301978389944182;0
2005-06-13;75.1509;30.4798;0.9962883250328904;1.010345558070495;0.9730139692272483;0.98608670773547;1.023919857824987;1.0383669608288304;1.00365398152251;1.0221964336098939;1.02626539544223;0.9990842787682351;0.9960351758420316;1.023133338530913;1.027206029813127;1.0331662281248564;0
2005-06-14;74.7543;30.6789;1.0012824871421626;1.0148731778640152;0.9791753450972052;0.9866084836822109;1.0225773066648884;1.0364570380019793;1.010204095282813;1.0138152187427092;1.0193355042064771;0.9933741431407273;0.9945844273637213;1.0205774186323735;1.0261345246854006;1.0304541557878542;0
2005-06-15;75.4561;30.9852;0.9917676825143545;1.0046577016304836;0.9711144957134015;0.9871697404049065;1.0212675095389043;1.0345409383395525;0.997573423487299;1.0025927124654899;1.0090217265016876;0.9844065876612078;0.9936284681812677;1.0184742006323722;1.0250050529415509;1.0128545240953746;0
2005-06-16;74.8153;31.0925;0.9994466372520054;1.0123817721776154;0.98038488785048;0.9872230661583458;1.0194431285485428;1.0326370639976812;0.9910272364075262;0.9983588141375384;1.0051258020422962;0.9818760311972358;0.993267521447556;1.0167870305584348;1.023678926978909;1.0014762402508643;0
2005-06-17;76.0358;31.8736;0.9836331795586509;0.9953689446287136;0.965628585482102;0.9882096330879196;1.0186454650858954;1.0307989630731194;0.9719092848368796;0.9743733282178888;0.9806381456754207;0.9587365876462041;0.9936114891255662;1.0163097359307778;1.0228441871431935;0.9733792229305758;0
2005-06-20;75.4255;31.4907;0.9928057676590992;1.0023872828154927;0.974383948399414;0.9904413041539383;1.0189061193895343;1.0287395276390572;0.9769428111182559;0.9867421175140593;0.9924451345952962;0.9712211383043265;0.9942535694090914;1.0159808910634205;1.0218528978148322;0.978110997850159;0
2005-06-21;75.5171;31.6132;0.9926116071724146;0.9999916310345597;0.9741431146058309;0.9926199143741734;1.0189587056456861;1.0265346190320177;0.9806057171157261;0.9842680995822718;0.9882409246770365;0.9683322631052869;0.9959799022732608;1.0164569921752697;1.0205597420743844;0.9811059936988347;0
2005-06-22;75.273;31.3835;0.995975316514553;1.0021076083057665;0.9781944455515257;0.9938806054954705;1.0181772356650443;1.0244462262722809;0.9878389329507261;0.9920647565030756;0.9948493316551718;0.9762761004986714;0.9972010081692838;1.0161723266567106;1.0190245680981163;0.9907276116430608;0
